area,target0,target1,target2,target3,target4,maxConfidence
办公楼出租,7124图书出租,7293办公服务,5413出租车客运,7130日用品出租,7125音像制品出租,0.286
应用软件与系统集成,6513应用软件开发,6531信息系统集成服务,653信息系统集成和物联网技术服务,651软件开发,3973集成电路制造,0.462
加工劳务收入,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.286
移动网络游戏,6312移动电信服务,6637网络借贷服务,6422互联网游戏服务,6572动漫、游戏数字内容服务,1农业,0.2
热电收入,4412热电联产,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
广告及商品销售收入,725广告业,7259其他广告服务,5267机动车充电销售,7251互联网广告服务,526汽车、摩托车、零配件和燃料及其他动力销售,0.2
煤碳销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
广告代理运营,725广告业,5181贸易代理,5184艺术品代理,582运输代理业,5821货物运输代理,0.286
景区,786游览景区管理,7861名胜风景区管理,7869其他游览景区管理,1农业,11谷物种植,0.333
钢铁及冶金原料贸易,5181贸易代理,518贸易经纪与代理,261基础化学原料制造,2614有机化学原料制造,3516冶金专用设备制造,0.182
出租开发产品,651软件开发,7124图书出租,25林产品采集,136水产品加工,5413出租车客运,0.25
自主开发、生产的金融专用设备,3533烟草生产专用设备制造,3534饲料生产专用设备制造,3545照明器具生产专用设备制造,4330专用设备修理,3521炼油、化工生产专用设备制造,0.364
加工劳务成本,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.286
移动网络安全,7271安全服务,6312移动电信服务,6637网络借贷服务,727安全保护服务,6440互联网安全服务,0.25
公司内部业务抵消,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.25
宾馆餐饮收入,62餐饮业,629其他餐饮业,6241餐饮配送服务,H住宿和餐饮业,6299其他未列明餐饮业,0.286
热力产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.286
移动音频收入,6312移动电信服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
旅游运输客运,5422旅游客运,531铁路旅客运输,542公路旅客运输,551水上旅客运输,5511海上旅客运输,0.5
能源、材料、机械、电子设备批发业,5175电气设备批发,5177通讯设备批发,5179其他机械设备及电子产品批发,3990其他电子设备制造,5137家用视听设备批发,0.3
信息通信,392通信设备制造,5274通信设备零售,6940金融信息服务,642互联网信息服务,3915信息安全设备制造,0.25
游戏收入,6422互联网游戏服务,6572动漫、游戏数字内容服务,1农业,11谷物种植,111稻谷种植,0.222
有色行业,9522行业性团体,3392有色金属铸造,9有色金属矿采选业,321常用有色金属冶炼,3240有色金属合金制造,0.286
自主开发生产的金融专用设备,3533烟草生产专用设备制造,3534饲料生产专用设备制造,4330专用设备修理,3545照明器具生产专用设备制造,35专用设备制造业 ,0.381
土地转让收入,79土地管理业,7486土地规划服务,7910土地整治服务,7930土地登记服务,7920土地调查评估服务,0.222
宾馆客房收入,,,,,,0
电力、热力的生产,44电力、热力生产和供应业,D电力、热力、燃气及水生产和供应业,441电力生产,4419其他电力生产,4430热力生产和供应,0.588
移动音频,6312移动电信服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.25
漓江旅游客运,5422旅游客运,5421长途客运,5531客运港口,6110旅游饭店,5331客运火车站,0.75
建安、房地产开发,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.615
环保产业(风、气、电、渣),70房地产业,7245环保咨询,70房地产业,4862环保工程施工,7090其他房地产业,0.133
生物医药,27医药制造业 ,2761生物药品制造,4417生物质能发电,8222宠物医院服务,254生物质燃料加工,0.286
发电机组行业,3811发电机及发电机组制造,381电机制造,4411火力发电,4413水力发电,4414核力发电,0.429
氨纶纤维,2826氨纶纤维制造,2821锦纶纤维制造,2822涤纶纤维制造,2823腈纶纤维制造,2824维纶纤维制造,0.75
市政工程及服务,7481工程管理服务,7482工程监理服务,4813市政道路工程建筑 ,748工程技术与设计服务,6020快递服务,0.364
热电产品,4412热电联产,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,0.333
索道,3436客运索道制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
移动音频、游戏等新媒体运营,6572动漫、游戏数字内容服务,6312移动电信服务,6422互联网游戏服务,1农业,11谷物种植,0.182
其他业务,,,,,,0
房地产行业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.571
环保产业,70房地产业,7245环保咨询,70房地产业,4862环保工程施工,7090其他房地产业,0.333
建安房地产开发,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.667
材料及其他收入,2780药用辅料及包装材料,2770卫生材料及医药用品制造,265合成材料制造,283生物基材料制造,623饮料及冷饮服务,0.333
面料坯布,1951纺织面料鞋制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.222
智慧环卫,,,,,,0
销售房屋收入,47房屋建筑业,4710住宅房屋建筑,4790其他房屋建筑业,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,0.222
游山票,,,,,,0
新媒体运营,,,,,,0
生物医药行业,27医药制造业 ,9522行业性团体,2761生物药品制造,4417生物质能发电,8222宠物医院服务,0.222
批发金融业务,51批发业,J金融业,5112种子批发,5116牲畜批发,5132服装批发,0.4
工业业务,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,31黑色金属冶炼和压延加工业 ,0.333
建安施工房地产开发,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.571
农机,,,,,,0
其他(纱、线),,,,,,0
环境监测及固废处理,4021环境监测专用仪器仪表制造,7461环境保护监测,746环境与生态监测,2666环境污染处理专用药剂材料制造,772环境治理业,0.316
电力和蒸汽,441电力生产,4420电力供应,4419其他电力生产,487电力工程施工,385家用电力器具制造,0.286
娱乐业收入,90娱乐业,9090其他娱乐业,R文化、体育和娱乐业,901室内娱乐活动,9011歌舞厅娱乐活动,0.667
新媒体运营收入,,,,,,0
零售金融业务,52零售业,J金融业,521综合零售,5211百货零售,5221粮油零售,0.4
其他行业,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.4
汽车销售及相关服务,7291旅行社及相关服务,6410互联网接入及相关服务,728会议、展览及相关服务,7289其他会议、展览及相关服务,64互联网和相关服务,0.533
建安施工、房地产开发,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.533
咨询收入,7244健康咨询,7245环保咨询,7246体育咨询,724咨询与调查,7243社会经济咨询,0.333
其他（纱、线）,,,,,,0
环境综合治理,772环境治理业,77生态保护和环境治理业,521综合零售,8411综合医院,7721水污染治理,0.444
广告及商品销售收,725广告业,7259其他广告服务,5267机动车充电销售,7251互联网广告服务,526汽车、摩托车、零配件和燃料及其他动力销售,0.222
数讯电子产业,5279其他电子产品零售,8131家用电子产品修理,70房地产业,70房地产业,5179其他机械设备及电子产品批发,0.333
旅游酒店收入,5422旅游客运,6110旅游饭店,7282旅游会展服务,6121经济型连锁酒店,1农业,0.25
其他,,,,,,0
软件技术,65软件和信息技术服务业,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,0.333
汽车出租、租赁服务,6631融资租赁服务,7111汽车租赁,6634汽车金融公司服务,L租赁和商务服务业,71租赁业,0.462
建安、房地产,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.5
管业(复合管材),722综合管理服务,7229其他综合管理服务,4853地下综合管廊工程建筑,1农业,11谷物种植,0.167
化纤行业(氨纶),9522行业性团体,1751化纤织造加工,2811化纤浆粕制造,2826氨纶纤维制造,1752化纤织物染整精加工,0.182
移动新媒体业务,6312移动电信服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.222
供水供电收入,4821水源及供水设施工程建筑,1农业,11谷物种植,111稻谷种植,112小麦种植,0.133
通风机械制造,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,3553缝制机械制造,3554洗涤机械制造,0.6
黑色金属冶炼及钢压延加工,31黑色金属冶炼和压延加工业 ,32有色金属冶炼和压延加工业 ,325有色金属压延加工,3130钢压延加工,3259其他有色金属压延加工,0.727
同业业务,,,,,,0
高新技术行业,9522行业性团体,745质检技术服务,751技术推广服务,6532物联网技术服务,74专业技术服务业,0.222
金属材料贸易,3333金属包装容器及材料制造,5181贸易代理,322贵金属冶炼,33金属制品业 ,92贵金属矿采选,0.267
通信科技,392通信设备制造,5274通信设备零售,7281科技会展服务,7530科技中介服务,3921通信系统设备制造,0.25
农机行业(农用车、拖拉机),3571拖拉机制造,9522行业性团体,5168农用薄膜批发,3433生产专用车辆制造,3323农用及园林用金属工具制造,0.25
电工器械制造,3839其他电工器材制造,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,3553缝制机械制造,0.5
化纤行业(粘胶短纤维),2022纤维板制造,9522行业性团体,1751化纤织造加工,2811化纤浆粕制造,282合成纤维制造,0.143
广告制作代理,725广告业,1422蜜饯制作,5181贸易代理,8770录音制作,5184艺术品代理,0.286
移动信息传输及金服外包相关业务,I信息传输、软件和信息技术服务业,6312移动电信服务,633卫星传输服务,6940金融信息服务,642互联网信息服务,0.231
餐饮、住宿等,H住宿和餐饮业,61住宿业,62餐饮业,6190其他住宿业,629其他餐饮业,0.4
零售业务,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.667
租赁,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,0.667
汽车贸易及服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.364
金融产品,J金融业,25林产品采集,136水产品加工,69其他金融业,5115林业产品批发,0.4
通用机械,3514建筑工程用机械制造,3597水资源专用机械制造,347文化、办公用机械制造,3517隧道施工专用机械制造,5920通用仓储,0.364
管业,,,,,,0
互联网收入,5193互联网批发,5292互联网零售,643互联网平台,642互联网信息服务,6421互联网搜索服务,0.5
化纤行业(粘胶长丝),9522行业性团体,1751化纤织造加工,2811化纤浆粕制造,1752化纤织物染整精加工,175化纤织造及印染精加工,0.154
通讯网络维护及相关业务,7291旅行社及相关服务,373船舶及相关装置制造,7231律师及相关法律服务,6410互联网接入及相关服务,728会议、展览及相关服务,0.267
广告销售,725广告业,7259其他广告服务,5267机动车充电销售,7251互联网广告服务,526汽车、摩托车、零配件和燃料及其他动力销售,0.4
小企业业务,7211企业总部管理,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
其他(主营),,,,,,0
汽车出租、租赁服务业,6631融资租赁服务,L租赁和商务服务业,7111汽车租赁,72商务服务业,80居民服务业,0.429
艺术品经营,5184艺术品代理,5183艺术品、收藏品拍卖,88文化艺术业,8393文化艺术培训,8820艺术表演场馆,0.5
重有色金属压延加工业,325有色金属压延加工,3259其他有色金属压延加工,32有色金属冶炼和压延加工业 ,3253贵金属压延加工,31黑色金属冶炼和压延加工业 ,0.875
环境监测及治理业务,772环境治理业,7461环境保护监测,4021环境监测专用仪器仪表制造,746环境与生态监测,77生态保护和环境治理业,0.4
农机行业,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
短棉,,,,,,0
软件开发及应用,6513应用软件开发,651软件开发,6511基础软件开发,6512支撑软件开发,6519其他软件开发,0.727
道路运输业,54道路运输业,53铁路运输业,5432冷藏车道路运输,5433集装箱道路运输,5431普通货物道路运输,1
公司业务,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.5
租赁收入,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,0.4
重有色金属压延工业,325有色金属压延加工,3259其他有色金属压延加工,32有色金属冶炼和压延加工业 ,3392有色金属铸造,3253贵金属压延加工,0.667
金属材料贸易业,3333金属包装容器及材料制造,5181贸易代理,322贵金属冶炼,33金属制品业 ,92贵金属矿采选,0.25
基金投资管理,6731创业投资基金,7212投资与资产管理,6720公开募集证券投资基金,9530基金会,673非公开募集证券投资基金,0.4
漆包线销售业务,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
长丝,,,,,,0
信息智能传输,I信息传输、软件和信息技术服务业,633卫星传输服务,6940金融信息服务,642互联网信息服务,3874智能照明器具制造,0.211
通行费收入行业,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
抵销,,,,,,0
软件收入,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.333
影视节目交换制作发行,8730影视节目制作,8750电影和广播电视节目发行,3931广播电视节目制作及发射设备制造,1422蜜饯制作,87广播、电视、电影和影视录音制作业,0.571
化工原料及产品贸易,5169其他化工产品批发,281纤维素纤维原料及纤维制造,516矿产品、建材及化工产品批发,264涂料、油墨、颜料及类似产品制造,5181贸易代理,0.267
黑色金属冶炬及压延加工业,31黑色金属冶炼和压延加工业 ,32有色金属冶炼和压延加工业 ,325有色金属压延加工,3259其他有色金属压延加工,3253贵金属压延加工,0.727
冷冻设备业务,392通信设备制造,395视听设备制造,3952音响设备制造,4320通用设备修理,4330专用设备修理,0.25
化工制造与流通,3543日用化工专用设备制造,C制造业,1442乳粉制造,1461味精制造,151酒的制造,0.267
金融服务外包,66货币金融服务,6940金融信息服务,6634汽车金融公司服务,6636消费金融公司服务 ,691金融信托与管理服务,0.6
其他传播、文化产业,70房地产业,70房地产业,88文化艺术业,7090其他房地产业,7284文化会展服务,0.222
子公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.4
软件,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.5
风机及配件业务,3412内燃机及配件制造,3670汽车零部件及配件制造,2442专项运动器材及配件制造,3752摩托车零部件及配件制造,3462风机、风扇制造,0.545
广告策划制作代理,725广告业,1422蜜饯制作,5181贸易代理,8770录音制作,5184艺术品代理,0.222
汽车销售服务,6634汽车金融公司服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.333
公司各业务分部间相互抵销,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.167
自产产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.286
通信网络维护,392通信设备制造,5274通信设备零售,6540运行维护服务,6637网络借贷服务,8111汽车修理与维护,0.2
工程及技术服务,745质检技术服务,6532物联网技术服务,74专业技术服务业,7459其他质检技术服务,7475地质勘查技术服务,0.545
交通运输仓储业,G交通运输、仓储和邮政业,541城市公共交通运输,5419其他城市公共交通运输 ,5990其他仓储业,59装卸搬运和仓储业 ,0.5
典当行业,6633典当,9522行业性团体,1农业,11谷物种植,111稻谷种植,0.5
会展旅游,7282旅游会展服务,5422旅游客运,6110旅游饭店,7281科技会展服务,7283体育会展服务,0.5
风机,3462风机、风扇制造,346烘炉、风机、包装等设备制造,1农业,11谷物种植,111稻谷种植,0.286
汽车出租租赁服务,6631融资租赁服务,7111汽车租赁,6634汽车金融公司服务,L租赁和商务服务业,71租赁业,0.5
电解铝深加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.286
其他营业净收入,,,,,,0
汽车制造业造,36汽车制造业,361汽车整车制造,3630改装汽车制造,3640低速汽车制造,C制造业,0.889
短信发送,,,,,,0
房地产咨询,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.571
潭耒路,,,,,,0
物业租赁,71租赁业,7020物业管理,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,0.4
网络,6637网络借贷服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
化工产品贸易,5169其他化工产品批发,516矿产品、建材及化工产品批发,2671炸药及火工产品制造,5181贸易代理,25林产品采集,0.5
金属结构制造业,3311金属结构制造,C制造业,331结构性金属制品制造,14食品制造业,21家具制造业 ,0.909
铝加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.5
手续费及佣金净收入,,,,,,0
制剂系列产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
电信分成,631电信,6311固定电信服务,6312移动电信服务,6319其他电信服务,63电信、广播电视和卫星传输服务,0.5
其他房地产业,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,1
岳阳专用线,4330专用设备修理,35专用设备制造业 ,266专用化学产品制造,3433生产专用车辆制造,3467包装专用设备制造,0.222
电器类,813家用电器修理,8132日用电器修理,3851家用制冷电器具制造,3853家用通风电器具制造,3854家用厨房电器具制造,0.286
商品流通业,,,,,,0
节目,8730影视节目制作,8750电影和广播电视节目发行,3931广播电视节目制作及发射设备制造,1农业,11谷物种植,0.333
合并抵销_,,,,,,0
减:内部抵消金额,,,,,,0
利息净收入,,,,,,0
原料系列产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
流量收入,,,,,,0
生物药品制造业,2761生物药品制造,276生物药品制品制造,14食品制造业,2750兽用药品制造,C制造业,0.909
长潭路,,,,,,0
旅游服务业,72商务服务业,80居民服务业,82其他服务业,7282旅游会展服务,729其他商务服务业,0.5
水泵及各种泵类,3441泵及真空设备制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.154
影视放映,8760电影放映,8730影视节目制作,3953影视录放设备制造,5178广播影视设备批发,87广播、电视、电影和影视录音制作业,0.333
模具销售业务,3525模具制造,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.333
有色金属冶炼及加工业,32有色金属冶炼和压延加工业 ,321常用有色金属冶炼,31黑色金属冶炼和压延加工业 ,3219其他常用有色金属冶炼,325有色金属压延加工,0.7
贴现及买入返售/卖出回购票据利息净收入,,,,,,0
牙膏系列产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
行业短信,9522行业性团体,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
计算机应用服务业,7295信用服务,75科技推广和应用服务,391计算机制造,72商务服务业,80居民服务业,0.4
电子信息产业,70房地产业,70房地产业,2423电子乐器制造,397电子器件制造,3982电子电路制造,0.25
服务类,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.4
长永路,,,,,,0
影视放映分部,8760电影放映,8730影视节目制作,3953影视录放设备制造,5178广播影视设备批发,87广播、电视、电影和影视录音制作业,0.25
电子元件业务,3989其他电子元件制造,398电子元件及电子专用材料制造,3824电力电子元器件制造,2423电子乐器制造,3563电子元器件与机电组件设备制造,0.6
采倔业,,,,,,0
债券业务利息净收入,,,,,,0
输液,,,,,,0
金服业务,,,,,,0
制药业,3544制药专用设备制造,354印刷、制药、日化及日用品生产专用设备制造,1农业,11谷物种植,111稻谷种植,0.222
轨道交通,5412城市轨道交通,3720城市轨道交通设备制造,4814城市轨道交通工程建筑,5632空中交通管理,541城市公共交通运输,0.75
制造类,C制造业,1442乳粉制造,1461味精制造,151酒的制造,1511酒精制造,0.5
文化传播公司,6911信托公司,88文化艺术业,6632财务公司服务 ,6920控股公司服务,7284文化会展服务,0.25
销售房屋,47房屋建筑业,4710住宅房屋建筑,4790其他房屋建筑业,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,0.286
电子元器件业务,3824电力电子元器件制造,3563电子元器件与机电组件设备制造,397电子器件制造,3976光电子器件制造,3971电子真空器件制造,0.667
碳素,3091石墨及碳素制品制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.222
金融企业往来利息净收入/支出,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.133
酒店服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
片剂,,,,,,0
维护服务,6540运行维护服务,727安全保护服务,7279其他安全保护服务,6020快递服务,6130民宿服务,0.75
工程技术及服务,748工程技术与设计服务,745质检技术服务,7481工程管理服务,7482工程监理服务,751技术推广服务,0.571
各业务分部间相互抵消,,,,,,0
现代投资文化传播公司,6732天使投资,6911信托公司,88文化艺术业,6632财务公司服务 ,6731创业投资基金,0.167
餐饮服务等,6241餐饮配送服务,623饮料及冷饮服务,62餐饮业,6239其他饮料及冷饮服务,6020快递服务,0.444
风机及风冷设备,7114计算机及通讯设备经营租赁,346烘炉、风机、包装等设备制造,392通信设备制造,395视听设备制造,3952音响设备制造,0.235
电解铝,,,,,,0
相关工程,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.25
存贷利息净收入,,,,,,0
VB2系列产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.2
酒店物业,7020物业管理,6121经济型连锁酒店,1农业,11谷物种植,111稻谷种植,0.333
IT业及技术服务,745质检技术服务,6532物联网技术服务,74专业技术服务业,7459其他质检技术服务,7475地质勘查技术服务,0.5
黄金收入,,,,,,0
车辆通行费潭衡路,3433生产专用车辆制造,3712铁路机车车辆制造,3713窄轨机车车辆制造,3715铁路机车车辆配件制造,8112大型车辆装备修理与维护,0.143
餐饮服务收入,6241餐饮配送服务,623饮料及冷饮服务,6239其他饮料及冷饮服务,62餐饮业,624餐饮配送及外卖送餐服务,0.4
气井建造工程,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.2
型焦,,,,,,0
贴现利息净收入,,,,,,0
分部间相互抵消,,,,,,0
酒店服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.5
住宿收入,61住宿业,6190其他住宿业,H住宿和餐饮业,851提供住宿社会工作,852不提供住宿社会工作,0.4
生物制药,2761生物药品制造,4417生物质能发电,254生物质燃料加工,283生物基材料制造,276生物药品制品制造,0.25
车辆通行费岳阳专用线,3433生产专用车辆制造,4330专用设备修理,35专用设备制造业 ,266专用化学产品制造,3467包装专用设备制造,0.25
生化制品,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,2041竹制品制造,0.286
瓦斯治理服务,6852保险代理服务,721组织管理服务,722综合管理服务,7221园区管理服务,7223市场管理服务,0.4
煤炭销售收入,252煤炭加工,690其他煤炭采选,2529其他煤炭加工,5161煤炭及制品批发,5267机动车充电销售,0.25
金融企业往来利息净收入,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.167
能源动力,3612新能源车整车制造,7471能源矿产地质勘查,7515新能源技术推广服务,3445液力动力机械元件制造,3444液压动力机械及元件制造,0.2
商业销售,6840商业养老金,6621商业银行服务,5267机动车充电销售,7222商业综合体管理服务,3594商业、饮食、服务专用设备制造,0.286
计算机软硬件,391计算机制造,3911计算机整机制造,3919其他计算机制造,3912计算机零部件制造,3913计算机外围设备制造,0.444
租赁业,71租赁业,7111汽车租赁,6631融资租赁服务,7040房地产租赁经营,711机械设备经营租赁,1
生物特征识别,2761生物药品制造,4417生物质能发电,254生物质燃料加工,283生物基材料制造,276生物药品制品制造,0.2
车辆通行费长潭路,3433生产专用车辆制造,3712铁路机车车辆制造,3713窄轨机车车辆制造,3715铁路机车车辆配件制造,8112大型车辆装备修理与维护,0.143
药品生产与销售,3549其他日用品生产专用设备制造,441电力生产,2740中成药生产,2750兽用药品制造,2761生物药品制造,0.222
煤层气销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.2
信贷业务利息净收入,,,,,,0
体育培训业务分部,8392体校及体育培训,89体育,7246体育咨询,891体育组织,899其他体育,0.545
销售商品的收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.167
其他收入,,,,,,0
商品贸易,5181贸易代理,518贸易经纪与代理,5189其他贸易经纪与代理,1农业,11谷物种植,0.333
IT类,,,,,,0
工业,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,31黑色金属冶炼和压延加工业 ,0.333
车辆通行费长永路,3433生产专用车辆制造,3712铁路机车车辆制造,3713窄轨机车车辆制造,3715铁路机车车辆配件制造,8112大型车辆装备修理与维护,0.143
手续费、佣金及其他业务收入,5246工艺美术品及收藏品零售,5146首饰、工艺品及收藏品批发,1农业,11谷物种植,111稻谷种植,0.111
药品生产和销售,4430热力生产和供应,45燃气生产和供应业,45燃气生产和供应业,4513煤气生产和供应业,46水的生产和供应业,0.333
专业技术服务业,74专业技术服务业,7499其他未列明专业技术服务业,659其他信息技术服务业,745质检技术服务,65软件和信息技术服务业,1
私募股权投资管理业务分部,7212投资与资产管理,6732天使投资,7020物业管理,7840绿化管理,76水利管理业,0.267
养殖行业,41水产养殖,411海水养殖,412内陆养殖,9522行业性团体,1农业,0.333
关联交易,6712证券经纪交易服务,7213资源与产权交易服务,1农业,11谷物种植,111稻谷种植,0.2
房屋租赁和管理收入,L租赁和商务服务业,71租赁业,7020物业管理,7111汽车租赁,7840绿化管理,0.267
电器,813家用电器修理,8132日用电器修理,3851家用制冷电器具制造,3853家用通风电器具制造,3854家用厨房电器具制造,0.333
证券投资利息收入,6720公开募集证券投资基金,673非公开募集证券投资基金,6739其他非公开募集证券投资基金,6732天使投资,671证券市场服务,0.375
医疗收入,9412基本医疗保险,7115医疗设备经营租赁,842基层医疗卫生服务,515医药及医疗器材批发,5154医疗用品及器材批发,0.25
酒店经营、物业管理收入,7020物业管理,23森林经营、管护和改培,7840绿化管理,76水利管理业,7620水资源管理,0.462
仪表制造业,40仪器仪表制造业,4090其他仪器仪表制造业,C制造业,401通用仪器仪表制造,4012电工仪器仪表制造,0.8
石油和天然气,7石油和天然气开采业,1120石油和天然气开采专业及辅助性活动,72天然气开采,721陆地天然气开采,4511天然气生产和供应业,0.769
水泥业务分部,3011水泥制造,3021水泥制品制造,3023石棉水泥制品制造,301水泥、石灰和石膏制造,3029其他水泥类似制品制造,0.333
海水养殖,411海水养殖,41水产养殖,412内陆养殖,421海水捕捞,4630海水淡化处理,1
房屋出租,7124图书出租,47房屋建筑业,5413出租车客运,7130日用品出租,4710住宅房屋建筑,0.333
交通运输收入,541城市公共交通运输,5419其他城市公共交通运输 ,G交通运输、仓储和邮政业,5438搬家运输,53铁路运输业,0.5
油泵及各种泵,3441泵及真空设备制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.167
卫生、保健、护理服务业,72商务服务业,80居民服务业,82其他服务业,6852保险代理服务,721组织管理服务,0.286
买入返售证券收入,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,6720公开募集证券投资基金,0.167
环保业务收入,7245环保咨询,4862环保工程施工,486节能环保工程施工,7516环保技术推广服务,359环保、邮政、社会公共服务及其他专用设备制造,0.333
环保服务业,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,7296非融资担保服务,0.5
城市公用,7850城市公园管理,541城市公共交通运输,5419其他城市公共交通运输 ,5437城市配送,5412城市轨道交通,0.5
私募股权投资管理业务,7212投资与资产管理,6732天使投资,7020物业管理,7840绿化管理,76水利管理业,0.308
钢球机,,,,,,0
其他销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.286
饮食服务收入,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.25
金融企业往来收入,J金融业,69其他金融业,66货币金融服务,6940金融信息服务,7211企业总部管理,0.222
医药生产及销售,2740中成药生产,441电力生产,27医药制造业 ,4419其他电力生产,2522煤制合成气生产,0.4
电子信息类,2423电子乐器制造,397电子器件制造,3982电子电路制造,6940金融信息服务,3976光电子器件制造,0.222
